AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
131641,https://www.marinespecies.org/aphia.php?p=taxdetails&id=131641,Microcionidae,"Carter, 1875",accepted,,140,Family,131641,Microcionidae,"Carter, 1875",131599,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Turner, T.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2024). World Porifera Database. Microcionidae Carter, 1875. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131641 on 2024-12-17",urn:lsid:marinespecies.org:taxname:131641,1,0.0,0.0,0.0,0.0,like,2015-04-22T06:11:52.117Z
205902,https://www.marinespecies.org/aphia.php?p=taxdetails&id=205902,Millepora,"Linnaeus, 1758",accepted,,180,Genus,205902,Millepora,"Linnaeus, 1758",196235,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,"WoRMS (2024). Millepora Linnaeus, 1758. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=205902 on 2024-12-17",urn:lsid:marinespecies.org:taxname:205902,1,0.0,0.0,0.0,0.0,like,2017-02-03T07:23:49.443Z
177745,https://www.marinespecies.org/aphia.php?p=taxdetails&id=177745,Muricea,"Lamouroux, 1821",accepted,,180,Genus,177745,Muricea,"Lamouroux, 1821",125277,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Plexauridae,Muricea,"McFadden, C.S.; Cordeiro, R.; Williams, G.; van Ofwegen, L. (2024). World List of Octocorallia. Muricea Lamouroux, 1821. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=177745 on 2024-12-17",urn:lsid:marinespecies.org:taxname:177745,1,,0.0,0.0,,like,2023-03-13T08:15:42.747Z
145,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145,Naticidae,"Guilding, 1834",accepted,,140,Family,145,Naticidae,"Guilding, 1834",14776,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,,"MolluscaBase eds. (2024). MolluscaBase. Naticidae Guilding, 1834. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145 on 2024-12-17",urn:lsid:marinespecies.org:taxname:145,1,1.0,0.0,0.0,0.0,like,2024-08-24T00:37:59.250Z
246351,https://www.marinespecies.org/aphia.php?p=taxdetails&id=246351,Neaxius,"Borradaile, 1903",accepted,,180,Genus,246351,Neaxius,"Borradaile, 1903",477356,Animalia,Arthropoda,Malacostraca,Decapoda,Strahlaxiidae,Neaxius,"DecaNet eds. (2024). DecaNet. Neaxius Borradaile, 1903. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=246351 on 2024-12-17",urn:lsid:marinespecies.org:taxname:246351,1,,,,,like,2019-12-04T18:37:25.427Z
385576,https://www.marinespecies.org/aphia.php?p=taxdetails&id=385576,Nuttallina,"Dall, 1871",accepted,,180,Genus,385576,Nuttallina,"Dall, 1871",385537,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Nuttallina,"MolluscaBase eds. (2024). MolluscaBase. Nuttallina Dall, 1871. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=385576 on 2024-12-17",urn:lsid:marinespecies.org:taxname:385576,1,0.0,0.0,0.0,0.0,like,2023-11-21T08:49:09.337Z
11718,https://www.marinespecies.org/aphia.php?p=taxdetails&id=11718,Octopoda,"Leach, 1818",accepted,,100,Order,11718,Octopoda,"Leach, 1818",325343,Animalia,Mollusca,Cephalopoda,Octopoda,,,MolluscaBase eds. (2024). MolluscaBase. Octopoda. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=11718 on 2024-12-17,urn:lsid:marinespecies.org:taxname:11718,1,,0.0,0.0,,like,2018-02-07T15:28:10.423Z
138268,https://www.marinespecies.org/aphia.php?p=taxdetails&id=138268,Octopus,"Cuvier, 1798",accepted,,180,Genus,138268,Octopus,"Cuvier, 1798",11782,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,"MolluscaBase eds. (2024). MolluscaBase. Octopus Cuvier, 1798. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138268 on 2024-12-17",urn:lsid:marinespecies.org:taxname:138268,1,,0.0,0.0,,like,2020-05-04T20:12:36.980Z
123084,https://www.marinespecies.org/aphia.php?p=taxdetails&id=123084,Ophiuroidea,"Gray, 1840",accepted,,60,Class,123084,Ophiuroidea,"Gray, 1840",148743,Animalia,Echinodermata,Ophiuroidea,,,,"Stöhr, S.; O’Hara, T.; Thuy, B. (Eds) (2024). World Ophiuroidea Database. Ophiuroidea. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123084 on 2024-12-17",urn:lsid:marinespecies.org:taxname:123084,1,,0.0,0.0,0.0,like,2009-06-22T07:47:14.980Z
1774,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1774,Ostreida,"A. Férussac, 1822",accepted,,100,Order,1774,Ostreida,"A. Férussac, 1822",206,Animalia,Mollusca,Bivalvia,Ostreida,,,MolluscaBase eds. (2024). MolluscaBase. Ostreida. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1774 on 2024-12-17,urn:lsid:marinespecies.org:taxname:1774,1,0.0,0.0,0.0,0.0,like,2019-06-08T22:02:18.547Z
