Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,AphiaID,Infraphylum,Parvphylum,Subclass,Infraclass,Genus,Species,Superfamily,Superclass,Superorder,Infraorder,Section,Subsection,Subterclass,Subgenus,Gigaclass,Subfamily,Megaclass,Tribe
Animalia,Chordata,Vertebrata,Elasmobranchii,Carcharhiniformes,,Carcharhinidae,1,Gnathostomata,Chondrichthyes,Neoselachii,Selachii,Carcharhinus,Carcharhinus leucas,,,Galeomorphi,,,,,,,,,
Animalia,Ctenophora,,Tentaculata,Lobata,,Bolinopsidae,1,,,,,,,,,,,,,,,,,,
Animalia,Arthropoda,Crustacea,Malacostraca,Decapoda,Pleocyemata,Plagusiidae,1,,,Eumalacostraca,,Plagusia,Plagusia depressa,Grapsoidea,Multicrustacea,Eucarida,Brachyura,Eubrachyura,Thoracotremata,,,,,,
Animalia,Mollusca,,Cephalopoda,Octopoda,,,1,,,Coleoidea,,,,,,Octopodiformes,,,,,,,,,
Animalia,Cnidaria,Medusozoa,Hydrozoa,Anthoathecata,Capitata,Pennariidae,1,,,Hydroidolina,,Pennaria,,,,,,,,,,,,,
Animalia,Cnidaria,Medusozoa,Hydrozoa,Leptothecata,,Aglaopheniidae,1,,,Hydroidolina,,Macrorhynchia,Macrorhynchia philippina,Plumularioidea,,,,,,,,,,,
Animalia,Cnidaria,Medusozoa,Hydrozoa,Anthoathecata,Capitata,Pennariidae,1,,,Hydroidolina,,Pennaria,Pennaria disticha,,,,,,,,,,,,
Animalia,Echinodermata,Asterozoa,Asteroidea,,,,1,,,,,,,,,,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Holothuroidea,,,,1,,,,,,,,,,,,,,,,,,
Animalia,Echinodermata,Asterozoa,Ophiuroidea,,,,1,,,,,,,,,,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Holothuroidea,Dendrochirotida,,,1,,,Actinopoda,,,,,,,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Camarodonta,,Toxopneustidae,1,,,Euechinoidea,Carinacea,,,Odontophora,,,Echinidea,,,Echinacea,,,,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Camarodonta,,Strongylocentrotidae,1,,,Euechinoidea,Carinacea,Strongylocentrotus,,Odontophora,,,Echinidea,,,Echinacea,,,,,
Animalia,Echinodermata,Echinozoa,Holothuroidea,Holothuriida,,Holothuriidae,1,,,Actinopoda,,Holothuria,,,,,,,,,,,,,
Animalia,Echinodermata,Asterozoa,Asteroidea,Forcipulatida,,Asteriidae,1,,,Ambuloasteroidea,Neoasteroidea,Coscinasterias,Coscinasterias tenuispina,,,Forcipulatacea,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Camarodonta,,Parechinidae,1,,,Euechinoidea,Carinacea,Paracentrotus,Paracentrotus lividus,,,,Echinidea,,,Echinacea,,,,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Diadematoida,,Diadematidae,1,,,Euechinoidea,Aulodonta,Diadema,Diadema antillarum,,,Diadematacea,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Holothuroidea,Apodida,,Synaptidae,1,,,Paractinopoda,,Euapta,Euapta lappa,,,,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Holothuroidea,Holothuriida,,Holothuriidae,1,,,Actinopoda,,Holothuria,Holothuria (Thymiosycia) impatiens,,,,,,,,Holothuria (Thymiosycia),,,,
Animalia,Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,,Plexauridae,1,,,,,,,,,,,,,,,,,,
Animalia,Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,,Gorgoniidae,1,,,,,Leptogorgia,,,,,,,,,,,,,
Animalia,Chordata,Vertebrata,Teleostei,Aulopiformes,,Synodontidae,1,Gnathostomata,Osteichthyes,,,,,,Actinopteri,,,,,,,Actinopterygii,,,
Animalia,Chordata,Vertebrata,Teleostei,Lophiiformes,,Antennariidae,1,Gnathostomata,Osteichthyes,,,,,,Actinopteri,,,,,,,Actinopterygii,,,
Animalia,Chordata,Vertebrata,Teleostei,Carangiformes,,Carangidae,1,Gnathostomata,Osteichthyes,,,,,,Actinopteri,,,,,,,Actinopterygii,,,
Animalia,Chordata,Vertebrata,Teleostei,Centrarchiformes,,Kyphosidae,1,Gnathostomata,Osteichthyes,,,,,,Actinopteri,,,,,,,Actinopterygii,,,
Animalia,Cnidaria,Anthozoa,Hexacorallia,Actiniaria,Enthemonae,Aiptasiidae,1,,,,,Exaiptasia,Exaiptasia diaphana,Metridioidea,,,,,,,,,,,
Animalia,Chordata,Vertebrata,Teleostei,Blenniiformes,,Blenniidae,1,Gnathostomata,Osteichthyes,,,Parablennius,Parablennius parvicornis,,Actinopteri,,,,,,,Actinopterygii,Salariinae,,
Animalia,Chordata,Vertebrata,Teleostei,Eupercaria incertae sedis,,Labridae,1,Gnathostomata,Osteichthyes,,,Thalassoma,Thalassoma pavo,,Actinopteri,,,,,,,Actinopterygii,,,
Animalia,Chordata,Vertebrata,Teleostei,Tetraodontiformes,,Diodontidae,1,Gnathostomata,Osteichthyes,,,Diodon,Diodon holocanthus,,Actinopteri,,,,,,,Actinopterygii,,,
Animalia,Chordata,Vertebrata,Teleostei,Tetraodontiformes,,Diodontidae,1,Gnathostomata,Osteichthyes,,,Diodon,Diodon hystrix,,Actinopteri,,,,,,,Actinopterygii,,,
Animalia,Cnidaria,Anthozoa,,,,,1,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Vertebrata,Elasmobranchii,Myliobatiformes,,Potamotrygonidae,1,Gnathostomata,Chondrichthyes,Neoselachii,Batoidea,Styracura,Styracura pacifica,,,,,,,,,,Styracurinae,,
Animalia,Annelida,,Polychaeta,Amphinomida,,Amphinomidae,1,,,Errantia,,Hermodice,Hermodice carunculata,,,,,,,,,,Amphinominae,,
Animalia,Arthropoda,Chelicerata,Pycnogonida,,,,1,,,,,,,,,,,,,,,,,,
Animalia,Porifera,,Demospongiae,Poecilosclerida,,Microcionidae,1,,,Heteroscleromorpha,,,,,,,,,,,,,,,
Animalia,Porifera,,Demospongiae,Haplosclerida,,Chalinidae,1,,,Heteroscleromorpha,,Haliclona,,,,,,,,,,,,,
Animalia,Porifera,,Demospongiae,Poecilosclerida,,Microcionidae,1,,,Heteroscleromorpha,,Clathria,,,,,,,,,,,Microcioninae,,
Animalia,Porifera,,Demospongiae,Clionaida,,Placospongiidae,1,,,Heteroscleromorpha,,Placospongia,,,,,,,,,,,,,
Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Vacatina,Caryophylliidae,1,,,,,Caryophyllia,,,,,,,,,,,,,
